"","EventName","EventType","EventRegion","flags","AvgPSI_TMO","AvgPSI_UT","deltaPSI","abs_deltaPSI","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Inc.baseMean","Inc.log2FoldChange","Inc.lfcSE","Inc.stat","Inc.pvalue","Inc.padj","Exc.baseMean","Exc.log2FoldChange","Exc.lfcSE","Exc.stat","Exc.pvalue","Exc.padj"
"1","SE:ITGA4-201-exon4;ITGA4-209-int2","SE","chr2:181475067-181478756/+","",0.5366,0.9693,-0.4326,0.4326,278.583333333333,-4.54847279868106,0.804256593434358,-5.65549954555927,1.55393641099493e-08,0.000364211616008992,405.297188533534,-1.15437349538602,0.205729177346048,-5.61113163566634,2.01007784286537e-08,0.000315622422886721,116.809803178946,3.44073346670367,0.369235150520499,9.3185425652281,1.17949284528755e-20,5.55611899701152e-16
"2","SE:CCNC-201-exon2;CCNC-217-int1","SE","chr6:99561682-99568495/-","",1,0.9336,0.0663,0.0663,102.416666666667,6.64220470990408,1.49219375760992,4.45130176696559,8.53513010011741e-06,0.0848441290694841,184.116280300498,0.142730267290708,0.319906759225566,0.446162086841274,0.655480167180749,0.99906770181161,7.31651169515093,-6.4564157454027,1.65404419197677,-3.90341187782084,9.48460932445186e-05,NA
"3","AFE:CBX1-202-exon1;CBX1-201-exon1","AFE","chr17:48077042-48101267/-","",0.0218,0,0.0218,0.0218,251.666666666667,5.7044776481836,1.31325484580801,4.34377049237066,1.40057837472339e-05,0.0848441290694841,6.07645489670908,5.93614519095249,1.68570243644462,3.52146681562177,0.00042916637871278,NA,482.78247715067,0.105308598155102,0.178146978499793,0.591133226293951,0.554431158773417,0.99906770181161
"4","A3SS:TSC22D4-204-exon3;TSC22D4-201-exon5","A3SS","chr7:100467169-100467551/-","",0,0.068,-0.068,0.068,78.5833333333333,-5.97673165404087,1.381784145988,-4.32537286767566,1.52274070131628e-05,0.0848441290694841,5.29208756464029,-5.99329095839606,1.72761347808247,-3.46911565256379,0.000522174617578261,NA,148.704221757288,-0.0334098924597318,0.307776780032922,-0.108552349063364,0.913557557256427,0.99906770181161
"5","AFE:MCM7-211-exon1;MCM7-201-exon1","AFE","chr7:100100094-100101263/-","",0,0.009,-0.009,0.009,498.666666666667,-5.76645635389112,1.34506238226111,-4.28712930339888,1.80996947413355e-05,0.0848441290694841,4.29196611054112,-5.68933920339409,1.82751959993699,-3.11314811813249,0.00185103094492121,NA,944.125765266691,0.00740573077157149,0.127204450513148,0.0582191168759934,0.953574093483264,0.99906770181161
"6","SE:NXN-201-exon6;NXN-206-int4","SE","chr17:803807-819438/-","",1,0.8498,0.1502,0.1502,34.5833333333333,6.10339764000088,1.43512659703483,4.25286358193857,2.11054157576418e-05,NA,61.9576111336112,0.0551719111980076,0.400376720890481,0.137799997650461,0.890398486216857,0.99906770181161,5.27205380647553,-5.98815960380824,1.73117494958393,-3.45901470284527,0.000542155308658534,NA
"7","A3SS:MCOLN1-201-exon12;MCOLN1-208-exon4","A3SS","chr19:7529713-7530434/+","",0.7906,1,-0.2094,0.2094,27.8333333333333,-6.44005301934114,1.53050158935918,-4.20780550906686,2.57862652570386e-05,NA,49.1744043530521,-1.01732231119133,0.477065359365499,-2.13245898328141,0.0329691329432642,0.99906770181161,4.71812013314208,5.570270281277,1.80604079084483,3.08424389388866,0.00204070225292782,NA
"8","A5SS:STAT6-202-exon1;STAT6-201-exon1","A5SS","chr12:57108300-57111128/-","",0.0439,0,0.0439,0.0439,113.75,5.8670245659438,1.40057241068286,4.1890190904755,2.80162833204802e-05,0.0860468401163963,6.0753098384468,5.94634787367313,1.71389879567088,3.46948599806064,0.000521455247292385,NA,212.78539560797,0.046983044597282,0.223980165418136,0.209764308859992,0.833851630691887,0.99906770181161
"9","A5SS:MRPS11-207-exon2;MRPS11-201-exon2","A5SS","chr15:88468025-88472626/+","",0.0454,0,0.0454,0.0454,118.5,5.71366610765592,1.36736735710342,4.17858893440278,2.93323295501882e-05,0.0860468401163963,5.55871256722785,5.81149169525864,1.71703072295521,3.38461718684706,0.000712775858761276,NA,219.310547990387,-0.0264750006538376,0.21959938263087,-0.120560451202816,0.904039195648835,0.99906770181161
"10","SE:PPIL2-204-exon12;PPIL2-201-int10","SE","chr22:21684914-21686482/+","Inc-NMD",0.0755,0,0.0755,0.0755,69.6666666666667,5.77408481995254,1.3819231022344,4.17829675950603,2.93700281991284e-05,0.0860468401163963,5.39857062852059,5.77244800854015,1.7279808167274,3.3405741271321,0.000836053588508955,NA,130.000582390367,-0.0249776266387605,0.308138522941648,-0.081059733785673,0.935394448050362,0.99906770181161
