"","EventName","EventType","EventRegion","flags","AvgPSI_MOE","AvgPSI_UT","deltaPSI","abs_deltaPSI","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Inc.baseMean","Inc.log2FoldChange","Inc.lfcSE","Inc.stat","Inc.pvalue","Inc.padj","Exc.baseMean","Exc.log2FoldChange","Exc.lfcSE","Exc.stat","Exc.pvalue","Exc.padj"
"1","A3SS:HTRA2-211-exon2;HTRA2-204-exon2","A3SS","chr2:74529913-74530444/+","",0.7241,0.1281,0.596,0.596,15.4166666666667,4.11177802139716,0.800515602407021,5.13641209369774,2.80033246280395e-07,NA,13.9332823686849,2.72838558784514,0.861036183107444,3.16872350009556,0.00153109978224233,NA,16.5796691019608,-1.45433116939995,0.717834034059808,-2.02599918699143,0.042764867957602,NA
"2","SE:IMPDH2-202-exon10;IMPDH2-201-int9","SE","chr3:49025270-49026323/-","",0.0678,3e-04,0.0675,0.0675,350.916666666667,4.60121767795611,0.910004297867607,5.05625928222322,4.27559946527133e-07,0.00839252300008269,28.4706571638832,4.54218397874846,1.67583435266974,2.71040152119592,0.00672018012342447,NA,657.55690346963,-0.0522855182063655,0.129833151522509,-0.402713156025492,0.687159254502917,0.950325402946661
"3","TM7SF2/ENST00000279263.14_Intron4/anti-near","IR","chr11:65113415-65113490/+","Inc-NMD",0.1651,0.0026,0.1624,0.1624,77.0833333333333,3.44030815228707,0.683922942553721,5.03025697521009,4.89822889625289e-07,0.00839252300008269,13.7062384016285,3.1919439160627,0.98936119002726,3.22626756359298,0.00125416053285268,NA,137.615708984212,-0.228840520026857,0.274041987416155,-0.835056416662691,0.403685944268808,NA
"4","SE:FARSA-201-exon5;FARSA-202-int4","SE","chr19:12928664-12930222/-","",0.9931,1,-0.0068,0.0068,879.5,-6.11539126578834,1.23184946853131,-4.96439818501486,6.89144267928682e-07,0.00839252300008269,1730.10810668644,-0.0581552541754445,0.133439196258239,-0.435818378753566,0.662968508229825,0.943206588888996,6.25363685241556,6.07083876303445,1.66832235663017,3.63888833528365,0.000273817488580302,NA
"5","FAU/ENST00000529639.6_Intron4/known-exon+anti-near","IR","chr11:65120807-65120980/-","",0.004,8e-04,0.0032,0.0032,3026.5,2.52071929761693,0.515431366491634,4.89050426786133,1.00577977825983e-06,0.00839252300008269,13.8778908715184,2.40005342611051,0.831394832778413,2.88677933935414,0.00389207085034774,NA,5923.03218434977,-0.0960824156529613,0.0834686790925424,-1.15111939828872,0.249683118585924,0.765437081205724
"6","SE:SRP54-201-exon3;SRP54-208-int2","SE","chr14:34996788-35000935/+","",1,0.9018,0.0982,0.0982,59.4166666666667,6.18592180899571,1.26814671284143,4.87792283523366,1.0720884750112e-06,0.00839252300008269,109.933586855701,-0.0358894650556205,0.272510013753846,-0.131699619258905,0.895221886682514,NA,6.39979118308412,-6.18903044206697,1.65493690618931,-3.73973800386018,0.000184212156724217,NA
"7","SE:PTPN7-201-exon3;PTPN7-212-int2","SE","chr1:202157824-202159280/-","",0.9675,1,-0.0324,0.0324,169.75,-6.01581730900443,1.24279518435222,-4.8405540870679,1.29477609316374e-06,0.00844647184375363,328.046056959141,-0.0962864783710869,0.180591415003134,-0.533173065671011,0.593913784444967,0.917899159556275,5.46707392897255,5.87986472695575,1.71410333741755,3.43028602687065,0.000602945306064795,NA
"8","SE:PI4KB-203-exon2;PI4KB-213-int1","SE","chr1:151307802-151327270/-","",1,0.8612,0.1387,0.1387,39.3333333333333,6.35370283131042,1.32635710728378,4.79034099973426,1.66498114361013e-06,0.00901760278125243,71.470266074119,0.613586755169421,0.35857289262187,1.71119113517729,0.0870458346153628,NA,4.76759069016499,-5.76014996229256,1.78649227282466,-3.22427924817445,0.00126290183320803,NA
"9","SE:ITGA4-201-exon4;ITGA4-209-int2","SE","chr2:181475067-181478756/+","",0.7767,0.9693,-0.1926,0.1926,264.75,-3.13838240083612,0.657954499013777,-4.76990795798237,1.84310115352238e-06,0.00901760278125243,451.966213969113,-0.50117419223939,0.2028999326414,-2.47005598136473,0.0135091909468733,0.319233648268434,66.2351689098344,2.61730421253584,0.488044677477874,5.36283732477442,8.19247817256967e-08,NA
"10","A5SS:UPF3A-201-exon8;UPF3A-206-exon7","A5SS","chr13:114301868-114304788/+","",0.9353,1,-0.0646,0.0646,71.6666666666667,-5.93757148137715,1.26896463872457,-4.67906772196977,2.88182253693417e-06,0.0125330462131267,136.898879342029,-0.56756296760258,0.254169152079078,-2.23301279073393,0.0255481008979524,NA,3.81386772877961,5.35850013419143,1.88847350177764,2.83747700412392,0.00454716221956557,NA
"11","AFE:KXD1-206-exon1;KXD1-201-exon1","AFE","chr19:18557915-18562035/+","",0.0569,0,0.0569,0.0569,95.3333333333333,5.90990422994892,1.28097017479343,4.61361579390553,3.95723633537592e-06,0.0154890187402949,5.24246539883505,5.81756447244222,1.72832336474676,3.3660162161232,0.00076262224981111,NA,180.45282095825,-0.101739852911896,0.241389414035434,-0.421476034143573,0.673407507897981,NA
"12","SE:CCNDBP1-201-exon5;CCNDBP1-203-int3","SE","chr15:43189281-43190324/+","",0.7368,0.9692,-0.2324,0.2324,37.25,-3.25246597195819,0.708948623222283,-4.58773155828305,4.48088295853908e-06,0.0159442036254707,61.2415429186759,-0.118016271454711,0.375677016959105,-0.314142910338213,0.753412500190825,NA,11.7874181018314,3.1417071537877,0.968864873801996,3.24266803218811,0.00118416097657194,NA
"13","SGSM3/ENST00000248929.14_Intron10/anti-near","IR","chr22:40406663-40407016/+","Inc-NMD",0.2015,0.0447,0.1567,0.1567,65,2.5135486244515,0.552104027823387,4.55267213746094,5.29687885859441e-06,0.0172770946170203,14.2492991228638,1.78957517410358,0.799550639179748,2.23822618157055,0.0252063091296687,NA,115.238829562845,-0.777629303729783,0.30149542180809,-2.57924083578544,0.00990177265174034,NA
"14","AFE:TAF8-205-exon1;TAF8-201-exon1","AFE","chr6:42050587-42051356/+","",0.1625,0.0024,0.1602,0.1602,49,3.69035901406208,0.816929584287737,4.51735263973777,6.26175758466335e-06,0.0188531887401006,7.95378387142187,3.14667538091976,1.22037848431868,2.5784421975257,0.00992469025039236,NA,88.0309385872648,-0.592018963322393,0.308036535423687,-1.92191151126961,0.0546168931260064,NA
"15","A3SS:ZNF76-201-exon9;ZNF76-202-exon10","A3SS","chr6:35291738-35292553/+","Inc-NMD",0.2894,0,0.2894,0.2894,18.8333333333333,6.15595135011196,1.36545041741531,4.50836681551915,6.53285579270428e-06,NA,5.45524462343486,5.87380047119067,1.70891586114546,3.43715018669998,0.000587869537281606,NA,31.3868508639217,-0.32740406000183,0.540810850408052,-0.605394769270619,0.544916725736799,NA
"16","SE:ITPK1-201-exon5;ITPK1-211-int2","SE","chr14:92962850-93016675/-","",1,0.9591,0.0409,0.0409,93.9166666666667,5.71666254375204,1.28095639842403,4.46280806340115,8.08925074313844e-06,0.0226158116669415,180.844773385776,0.147676473777605,0.241207354866402,0.612238685090673,0.540379850180833,NA,4.3904336118389,-5.63782551773407,1.85906381388727,-3.03261538179557,0.00242444392400071,NA
"17","SE:STK19-201-exon3;STK19-217-int1","SE","chr6:31972512-31978902/+","",0.8044,1,-0.1955,0.1955,20.3333333333333,-5.9666903557708,1.34482459998194,-4.43677960371257,9.13147019315272e-06,0.0231050696934185,36.1449204830781,-0.543772957549852,0.477387743309875,-1.13905931848964,0.254678413849648,NA,3.98220279851208,5.42069218113638,1.8904042676337,2.86747775274634,0.00413757893071299,NA
"18","A3SS:FSD1-201-exon9;FSD1-205-exon6","A3SS","chr19:4317281-4318383/+","",1,0.8966,0.1034,0.1034,45.25,5.74772407348168,1.29759892518839,4.4295074247593,9.44485616347809e-06,0.0231050696934185,84.5644716464815,-0.127490299601439,0.351397211687622,-0.362809650620601,0.716747082251789,NA,5.06091325550583,-5.84713190289714,1.74943786937238,-3.34229183285876,0.000830896524037686,NA
"19","IRF7/ENST00000348655.11_Intron2/known-exon+anti-near","IR","chr11:615260-615344/-","Inc-NMD",0.8951,0.4202,0.4749,0.4749,15.75,3.53853633791295,0.800866875096295,4.41838268999137,9.94422302544946e-06,NA,20.2279098919999,0.991105468222187,0.66681797322694,1.48632086718647,0.137194269765454,NA,11.0645123095045,-2.54709470413531,0.930579956921974,-2.73710462512022,0.00619825766584965,NA
"20","A3SS:ALG13-201-exon2;ALG13-231-exon2","A3SS","chrX:111681300-111682235/+","Exc-NMD",0.8556,1,-0.1444,0.1444,28.1666666666667,-5.70065529274688,1.30797189910668,-4.35839278859148,1.3102107889442e-05,0.0244724664987876,51.7879802370418,-0.360286370912763,0.417238389628466,-0.863502448165384,0.387861273978307,NA,3.80381281873519,5.35495818461471,1.8893292376119,2.83431711001484,0.00459237362168534,NA
"21","AFE:RPS23-202-exon1;RPS23-201-exon1","AFE","chr5:82277853-82278319/-","",0.0022,0,0.0022,0.0022,1618.58333333333,5.44464547051994,1.25225746706315,4.34786424814775,1.374696442553e-05,0.0244724664987876,3.78047100431436,5.342125948942,1.91892811895982,2.78391144314346,0.00537076957979967,NA,3166.09966190314,-0.135404514657342,0.0892776669783454,-1.51666726114365,0.129350714083339,0.675493780225898
"22","SE:ADGRB2-201-exon6;ADGRB2-215-int3","SE","chr1:31743003-31744647/-","",0.9997,0.7715,0.2282,0.2282,26.5833333333333,5.83579358303777,1.342646917129,4.34648417881638,1.38337024655841e-05,0.0244724664987876,46.1859988693886,0.868123643731963,0.424559484312821,2.0447632800786,0.0408782015419977,NA,5.40837541493712,-4.94455785673946,1.70106463644113,-2.90674307772583,0.00365213023459071,NA
"23","SE:IARS1-228-exon2;IARS1-204-int1","SE","chr9:92289427-92293610/-","",0.0197,4e-04,0.0193,0.0193,205.416666666667,5.50491523543543,1.26725580040356,4.34396530967337,1.3993362208083e-05,0.0244724664987876,4.26959090811251,5.51780933162702,1.85220324941035,2.97905175006232,0.00289141940375703,NA,398.692066290462,-0.0160884919210267,0.181692063774692,-0.0885481269065077,0.929441034790093,0.993972810118525
"24","PPDPF/ENST00000370179.8_Intron3/known-exon","IR","chr20:63521590-63521667/+","",0.0092,0.0323,-0.0231,0.0231,485.333333333333,-1.74161775293705,0.401042455938424,-4.34272662943311,1.40725197234095e-05,0.0244724664987876,21.7386938282453,-2.19402961816692,0.679143403035327,-3.23058371525224,0.00123537721042208,NA,934.369058500898,-0.412214868521324,0.11156093381861,-3.69497506350704,0.000219908368671655,0.0292933113165035
"25","A3SS:RPLP0-207-exon5;RPLP0-201-exon6","A3SS","chr12:120198740-120198853/-","Inc-NMD",5e-04,0,4e-04,4e-04,5439.91666666667,5.41956718644945,1.25043906495567,4.33413137699884,1.46336768591018e-05,0.0244724664987876,3.49485729020719,5.23698521262479,2.03041833134311,2.57926415053618,0.00990110432415279,NA,10668.556731189,-0.121635708666361,0.0666716101840096,-1.82440034567418,0.0680915697874063,0.56585950897124
"26","SE:GNB5-202-exon4;GNB5-212-int3","SE","chr15:52141273-52149883/-","Exc-NMD",1,0.9514,0.0485,0.0485,67.75,5.49610937331563,1.27087920440034,4.32465127628627,1.52773338482294e-05,0.0244724664987876,129.696110760892,0.105605928503933,0.262610043616394,0.40213971655325,0.687581204791516,NA,3.85953399797691,-5.45205336702,1.92863529666728,-2.82689701699501,0.00470014406418276,NA
