"","EventName","EventType","EventRegion","flags","AvgPSI_Gapmer","AvgPSI_UT","deltaPSI","abs_deltaPSI","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Inc.baseMean","Inc.log2FoldChange","Inc.lfcSE","Inc.stat","Inc.pvalue","Inc.padj","Exc.baseMean","Exc.log2FoldChange","Exc.lfcSE","Exc.stat","Exc.pvalue","Exc.padj"
"1","AFE:YIF1B-205-exon1;YIF1B-202-exon1","AFE","chr19:38309644-38315868/-","",0.1173,0,0.1173,0.1173,50.5,5.98094040027518,1.45060847529781,4.12305629128998,3.73878283617516e-05,0.490002056819163,4.79637709401166,5.37560374218725,1.71561704104322,3.13333547848096,0.00172831778560525,NA,92.3253090853745,-0.690930015284475,0.324310691359461,-2.13045710083809,0.033133893917891,0.211393606028555
"2","A5SS:CNN2-201-exon4;CNN2-211-exon4","A5SS","chr19:1032670-1036129/+","",0.9895,1,-0.0104,0.0104,556.833333333333,-5.54980951880729,1.35506839699844,-4.09559364759776,4.21087965708715e-05,0.490002056819163,1032.11870230176,-0.109573892756498,0.138897468556955,-0.78888329567768,0.430180219709988,0.714868110935316,5.4708990599346,5.56323676374359,1.66402798667954,3.34323509476824,0.00082807713778096,NA
"3","A3SS:MUTYH-201-exon3;MUTYH-202-exon3","A3SS","chr1:45333562-45334390/-","",0.2545,0.0018,0.2527,0.2527,44.8333333333333,5.38981803376387,1.31601470330489,4.09556065006608,4.21147951378103e-05,0.490002056819163,9.59036486414089,4.46847199631792,1.3532097953239,3.30212803052342,0.000959542613792615,NA,79.5812965238148,-1.17649284491836,0.342155551761186,-3.43847363826941,0.000585003493824477,NA
"4","FAU/ENST00000529639.6_Intron4/known-exon+anti-near","IR","chr11:65120807-65120980/-","",0.006,8e-04,0.0051,0.0051,3615.16666666667,2.99843535235931,0.751334229795488,3.9908142521012,6.58468371794984e-05,0.490002056819163,20.9455866647556,2.73168324177157,0.699626307193782,3.90448903033452,9.44246747799061e-05,NA,6788.5542933605,-0.329735775682677,0.100724226543263,-3.27364912095948,0.00106168354806368,0.0382761378785101
"5","A5SS:SMC4-202-exon1;SMC4-216-exon1","A5SS","chr3:160399698-160400821/+","",0.9784,1,-0.0216,0.0216,215.333333333333,-5.60853806250382,1.41118832114063,-3.97433707357398,7.05755539962255e-05,0.490002056819163,410.217857865581,-0.603683315361668,0.204385773658912,-2.95364645275713,0.00314043558167251,0.0664587793051309,4.66876978346292,5.32351528034321,1.78603457609225,2.98063394270384,0.00287652411925572,NA
"6","A5SS:ACOX1-203-exon1;ACOX1-201-exon1","A5SS","chr17:75978694-75978964/-","Inc-NMD",0.0795,0,0.0794,0.0794,77.8333333333333,5.71654165308389,1.43925114438624,3.9718861266021,7.13058058514184e-05,0.490002056819163,5.2683381603806,5.51673528179617,1.66847239664846,3.30645882597633,0.000944832351285388,NA,135.96117459057,-0.275746276912139,0.256618816242796,-1.0745364698871,0.28258230829148,0.590967118763154
"7","SE:CDC16-201-exon13;CDC16-202-int12","SE","chr13:114250675-114259334/+","",0.8988,1,-0.1011,0.1011,57.5,-5.52992534679867,1.4109418412332,-3.91931487549152,8.8801038813663e-05,0.490002056819163,99.1817067789903,0.0285747815107339,0.289394629053649,0.0987398473986074,0.921344829789902,0.970819506479903,6.00362816959133,5.69546933257902,1.63292831186265,3.48788693980221,0.000486853900469989,NA
"8","KLHDC2/ENST00000298307.10_Intron7/known-exon+anti-near","IR","chr14:49779676-49779747/+","Inc-NMD",0.1628,0.0086,0.1542,0.1542,99.9166666666667,3.5221799213867,0.900266650486906,3.91237409436608,9.13931897416104e-05,0.490002056819163,14.8854569978136,2.54781478888703,0.893543324787622,2.85136122469785,0.00435324840328144,NA,186.161663091084,-0.838692507952061,0.302748184212336,-2.77026437048367,0.00560108100903543,0.090025311038308
"9","A3SS:FCF1-201-exon4;FCF1-208-exon4","A3SS","chr14:74714944-74715993/+","Exc-NMD",0.9991,0.9333,0.0658,0.0658,119.75,4.2777240316027,1.09467840383893,3.90774497478086,9.31615639492536e-05,0.490002056819163,199.49463660603,0.624247018353615,0.244433363243574,2.55385357411936,0.0106538049099974,0.121284959553451,6.64713855155884,-3.61180565675844,1.30281970241174,-2.77229892215506,0.00556618963687608,NA
"10","EDC4/ENST00000358933.10_Intron19/clean","IR","chr16:67881181-67881264/+","",0.0516,0,0.0515,0.0515,108.583333333333,5.49797794228096,1.40748556449258,3.9062410876399,9.37429857358444e-05,0.490002056819163,5.35968804842012,5.53015203280891,1.68538048952589,3.28124839890876,0.0010334868349256,NA,194.573109730019,-0.178886445112639,0.234561153793992,-0.76264309848062,0.44567627406105,0.726354297209443
"11","SE:PTPN7-201-exon3;PTPN7-212-int2","SE","chr1:202157824-202159280/-","",0.9779,1,-0.0221,0.0221,203.666666666667,-5.7538792050805,1.48059351795079,-3.88619775469782,0.000101826566719477,0.490002056819163,370.676380298694,-0.37142906201321,0.176473999508766,-2.10472399926971,0.0353153401552132,0.21762007183768,4.15385643372585,5.19300773378828,1.81091243137722,2.86761946287978,0.00413572635897604,NA
